Locality,Type,Price,Rooms,Living area(m2),Plot(m2),Installed Kitchen,Furnished,Fireplace,Terrace,Terrace Surface(m2),Garden,Garden Surface(m2),No.Facades,Swimming Pool,Condition,Construction Year,Energy Label
Chievres,House,330000€,2,285,2950,,,,,,,,,,Good,,G
Antwerpen,Mansion,3450000€,10,1054,855,,,,,,,,2,,As new,1914,B
Waregem,Mansion,275000€,5,350,154,0,,,,,,,2,,To renovate,,D
Neder-over-heembeek,House,459000€,4,155,418,1,0,,1,15,1,305,2,0,,1935,C
Namur,House,469000€,4,200,603,1,,,1,60,1,300,3,,To be done up,,C
Stabroek,Town-house,424000€,3,170,267,1,,,,,,,2,,As new,2004,B
Waterloo,Villa,1490000€,5,450,954,0,0,,,,,,4,0,Good,2004,C
Ivoz-ramet,House,155000€,3,146,579,0,,,1,20,1,425,3,,To renovate,1850,E
Zaventem,House,345000€,4,167,283,0,,,,,1,70,4,,To renovate,1900,E
Charleroi,Villa,310000€,4,280,1795,,,,1,50,1,1500,,,To renovate,1975,G
Zwijndrecht,House,439000€,3,173,423,,,,,,,,3,,Just renovated,1971,C
Deurne-2100,House,465000€,2,285,437,0,,,1,12,1,300,,,,1951,C
Namur,House,950000€,10,554,298,0,,,,,,,3,,To be done up,,E
Auvelais,House,119999€,3,120,60,0,0,,1,20,1,215,3,0,To renovate,1960,F
Sint-pieters-leeuw,House,339000€,3,169,499,0,,,1,21,1,442,2,,To renovate,1961,D
Oupeye,House,199000€,2,100,148,1,0,,1,60,1,300,4,0,Good,1918,C
Hove,House,445000€,5,270,660,,,,1,,1,480,2,,To renovate,1960,F
Lessines,House,449000€,4,220,3217,0,0,,1,,,,4,0,Good,,D
Sint-kruis,House,335000€,3,131,135,,,,,,,,,,Good,1936,C
Ixelles,House,4600000€,6,600,685,0,0,,1,109,,,3,0,Good,1950,D
Hansbeke,House,825000€,3,257,795,,,,1,,,,4,,As new,,A
Braine-lalleud,Villa,2495000€,6,700,5000,0,0,,1,60,,,4,0,As new,2001,D
Lotenhulle,House,239000€,2,126,619,1,,,,,,,4,,To renovate,1931,F
De-haan,House,445000€,3,186,332,0,,,,,,,,,Good,1994,B
Gent-sint-amandsberg,House,480000€,3,135,263,1,0,,1,,1,177,3,0,,2024,Not specified
Saint-gilles,House,100000€,6,,338,,,,,,,,,,,,Not specified
Bierbeek,House,415000€,4,210,2769,0,0,,1,,1,1732,4,0,To renovate,1962,F
Huy,Farmhouse,495000€,6,194,2284,1,,,,,1,2284,4,,Just renovated,,B
Thuin,House,205000€,2,163,1136,1,,,1,13,,,2,,Good,,D
Dilbeek,House,410000€,2,154,,0,0,,,,,,,0,As new,,B
Assenede,House,459000€,3,249,964,,,,,,,,3,,As new,1989,C
Ottignies-louvain-la-neuve,Villa,990000€,4,360,3627,0,,1,1,1,1,1,4,,Good,1935,C
Amay,House,185000€,3,167,160,1,,,,,,,2,,Good,,E
Modave,House,275000€,6,335,580,0,,,,,1,240,2,,To restore,1918,G
Geraardsbergen,House,269000€,3,115,,1,,,1,,,,2,,Just renovated,,A
Antwerpen,House,1630000€,4,300,127,,,,1,,1,30,2,,Good,1899,D
Ixelles,Exceptional-property,5500000€,6,812,370,0,0,,,,1,200,2,0,As new,,C
Lembeek,Mixed-use-building,349000€,3,157,688,1,,,,,1,460,,,Good,1962,D
Bertrix,House,229900€,5,181,222,1,0,,,,1,93,3,0,Good,1850,D
Chastre-villeroux-blanmont,Villa,550000€,3,170,1155,0,0,,1,55,1,1155,4,0,,2024,A+
Machelen,Villa,599000€,3,255,600,1,,,1,6,1,180,4,,Good,1983,F
Nord-est-bruxelles,House,850000€,5,220,220,,0,,,,1,30,2,0,,,E
Ciney,House,185000€,2,80,47,,,,,,,,2,,Just renovated,,C
Zulte-machelen,Villa,405000€,3,193,110,0,0,,,,1,54,3,0,Good,2024,Not specified
Ronse,House,435000€,4,180,2587,1,0,,1,30,1,1750,4,0,Good,1997,B
Riemst,House,317500€,3,,,,,,1,,,,3,,Good,1943,E
Waterloo,House,695000€,6,270,908,0,0,,1,30,,,4,0,To be done up,1980,E
Thy-le-chateau,House,495000€,5,317,5780,1,0,,,,,,4,0,,2011,B
Anderlues,House,240000€,3,147,400,0,,,,,,,2,,As new,2024,B
Diegem,House,430000€,5,,171,1,,,,,,,,,Good,1969,C
Wijnegem,House,360000€,3,150,301,,0,,1,,,,2,0,Good,2024,A
Turnhout,House,595000€,8,468,398,1,,,1,30,1,210,2,,Good,1949,D
Gent,Villa,995000€,3,347,1137,0,,,1,50,,,4,,As new,2009,A
Rijkevorsel,House,610000€,6,257,461,,,,,,,,3,,As new,2020,A
Woluwe-saint-lambert,House,790000€,6,235,80,,0,,1,47,,,2,0,,,G
Antwerpen,House,540000€,7,229,64,,0,,,,,,2,0,,1918,C
Boussu,House,70000€,1,75,120,1,0,,1,8,1,70,3,0,Good,1975,E
Deurne-2100,House,299000€,2,190,165,,,,1,5,,,,,To renovate,1960,D
Boutersem,House,399000€,4,180,477,,0,,1,,,,4,0,Good,,D
Stockem,House,350000€,3,184,880,1,0,,1,,1,880,4,0,Good,,E
Bouillon,House,500000€,13,737,427,1,,,1,,,,2,,As new,1990,F
Schaerbeek,House,465000€,4,205,205,0,,,,,,,2,,Good,,E
Amay,House,225000€,4,155,125,1,,,,,1,85,2,,Good,,C
