Locality,Type,Price,Rooms,Living area(m2),Plot(m2),Installed Kitchen,Furnished,Fireplace,Terrace,Terrace Surface(m2),Garden,Garden Surface(m2),No.Facades,Swimming Pool,Condition,Construction Year,Energy Label
Ronse,Town-house,359500€,5,304,270,0,0,,1,25,1,150,2,0,Good,1966,B
Wakken,House,329000€,2,500,600,0,,,,,,,2,,Good,,B
Gent,Villa,1595000€,8,468,1354,1,,,,,,,,,To renovate,1936,E
Soignies,House,149000€,4,165,110,1,0,,,,,,3,0,,,E
Leuven,House,298000€,2,50,38,1,,,1,17,,,2,,Good,,F
Temse,Villa,690000€,4,350,950,1,,1,1,50,1,800,4,,As new,1990,C
Zonhoven,Villa,725000€,,362,,0,,,,,,,,,As new,1976,D
Oud-turnhout,Villa,2950000€,5,475,4500,,,,1,,,,4,,,1998,C
Charleroi,House,100000€,2,105,16,,,,,,,,2,,To renovate,,E
Lasne,Apartment-block,1650000€,11,1269,2870,0,0,,1,40,1,2000,4,0,Good,1900,G
Charleroi,House,395000€,5,170,,,0,,1,,1,3000,4,0,Good,2010,B
Schilde,House,485000€,3,140,1440,0,,,1,,,,4,,,2003,C
Somme-leuze,House,1790000€,11,1250,2650,0,1,,1,,1,2600,4,1,As new,2004,D
Herseaux,House,65000€,2,109,181,,,,,,1,115,2,,To renovate,,E
Sprimont,House,285000€,4,229,430,0,0,,,,,,2,0,To renovate,1960,F
Ravels-poppel,House,625000€,4,250,1302,,0,,1,,,,4,0,,1976,C
Ciney,House,320000€,3,165,671,1,0,,,,,,4,0,As new,2023,A
Breendonk,House,435000€,3,150,479,1,,,1,24,1,200,4,,As new,,D
Schoten,House,2395000€,6,540,4162,0,0,,1,,,,4,0,As new,1956,C
Engis,Mixed-use-building,779000€,5,305,490,0,0,1,1,27,,,4,0,As new,2023,A
Wilrijk,House,375000€,3,110,115,0,,,1,30,1,33,,,Good,1955,D
Lontzen,House,235000€,3,160,428,1,0,,1,20,1,250,4,0,Good,1960,E
Denderleeuw,House,239000€,3,121,300,1,0,,1,24,1,217,2,0,To renovate,1933,E
Aspelare,House,1295000€,6,439,29270,,,,,,,,4,,Good,1850,C
Riemst,House,549000€,3,186,504,0,0,,1,,1,384,3,0,As new,2019,A
Lillois-witterzee,House,645000€,5,290,836,0,,1,1,90,,,4,,Good,1903,C
Mechelen,House,499000€,3,242,236,0,0,,1,17,1,125,2,0,As new,1954,A
Montignies-sur-sambre,House,250000€,3,170,895,0,,,1,,,,3,,Good,,G
Hulste,Country-cottage,685000€,3,1250,22500,0,,,,,,,,,To renovate,,Not specified
Charleroi,Apartment-block,395000€,4,400,50,,,,,,,,2,,Just renovated,1938,B
Sint-joris-weert,House,375000€,2,178,445,,,,,,,,,,,1931,D
Harelbeke,House,759000€,3,281,996,,,,,,,,4,,As new,2002,B
Brecht-sint-job-in-t-goor,Villa,1798000€,4,511,2673,0,0,1,1,,,,4,0,,2007,B
La-louviere-houdeng-aimeries,Mixed-use-building,150000€,2,203,190,1,0,,,,,,2,0,To be done up,1899,D
Lasne,House,980000€,4,265,2990,0,0,,1,,,,4,0,Good,,D
Jurbise,House,775000€,7,,23221,0,0,,1,,1,23000,4,0,To be done up,1804,F
Mechelen,House,895000€,2,266,,0,0,,1,35,,,2,0,As new,,A
Elsene,House,799000€,3,227,,,0,,1,29,1,32,2,0,Good,2024,Not specified
Zoersel,Villa,1095000€,4,376,2203,0,,,1,,,,4,,As new,1993,A
Kruisem,Mixed-use-building,1200000€,4,,4280,1,,,,,,,,,Good,,Not specified
Rhode-saint-genese,Villa,2195000€,5,540,1975,0,0,,1,,1,1500,4,0,As new,1997,B
Leuven,House,398000€,2,110,466,,,,,,1,225,4,,To renovate,1956,F
Mortsel,House,799500€,4,228,478,0,0,,1,,1,305,4,0,Good,,B
Beveren-leie,House,350000€,3,800,685,1,,1,1,,,,4,,,1964,F
Ham,House,426780€,3,202,562,,,,1,11,1,385,3,,As new,2023,A
Beerse,Villa,649000€,3,213,2446,0,0,,1,,,,4,0,,1996,C
Tongeren,Mixed-use-building,238000€,2,188,120,,,,1,,,,,,,1930,D
Izegem,House,105000€,4,122,100,,,,,,,,2,,,,E
Lissewege,House,399000€,3,258,178,,,,,,,,2,,As new,,D
Nivelles,Bungalow,250000€,2,80,768,1,0,,1,18,1,622,4,0,Good,1979,G
Saint-gilles,House,695000€,5,256,256,1,0,,,,1,8,2,0,Good,1930,G
Angre,House,185000€,5,204,1230,,,,1,,,,4,,To be done up,,E
Namur,House,349000€,3,,702,1,,,1,1,1,1,4,,As new,2024,A
Engis,House,115000€,3,102,143,0,,,,,1,90,2,,To renovate,,E
Enghien,House,275000€,4,180,121,,,,1,35,,,2,,Good,,C
Kessel-lo,Town-house,515000€,4,177,258,,,,,,,,2,,Good,1988,B
Hoegaarden,House,339000€,3,160,41,,,,1,15,,,2,,As new,,B
Quevaucamps,House,165000€,3,143,391,,,,1,,,,3,,To renovate,,D
Boussu,House,275000€,3,243,420,0,1,,1,15,1,275,2,1,As new,1935,D
Gent,Apartment-block,730000€,6,267,280,0,0,,1,,1,90,3,0,To be done up,1967,B
Bruxelles,House,590000€,4,,,0,0,,,,,,2,0,To renovate,,Not specified
Buvrinnes,House,100000€,2,86,180,0,,,1,,,,2,,Good,,G
Mortsel,House,460000€,4,190,97,1,,,1,12,,,3,,Good,1933,C
Beerse,Country-cottage,2450000€,9,670,130000,,,,,,,,,,Good,1922,Not specified
Onhaye,House,290000€,4,140,4202,0,0,,1,,,,3,0,Good,,F
Willebroek,House,399000€,3,128,810,,,,,,1,725,4,,To renovate,,C
Schaerbeek,Apartment-block,300000€,3,120,45,,0,,,,,,2,0,To renovate,,F
Oud-turnhout,House,480000€,4,353,2674,,,,,,,,4,,Good,1965,F
Laeken,Apartment-block,749000€,8,350,270,1,,,1,,1,150,2,,Good,1937,D
Meulebeke,House,189000€,4,128,157,,,1,,,1,51,3,,Good,1962,F
Mechelen-leest,Farmhouse,388000€,3,172,1043,0,0,,1,,,,4,0,To renovate,1963,F
Beauraing,House,350000€,16,520,547,,,,,,1,547,,,Good,,D
Knokke-heist,Villa,1795000€,4,222,538,0,,,1,20,1,538,3,,As new,1957,C
Leuven,House,448000€,4,180,157,0,,,1,27,,,,,Good,1934,C
Nandrin,Apartment-block,499000€,6,293,295,0,,,1,12,1,220,,,Good,1850,C
Wellin,House,259000€,3,150,400,0,,,1,1,1,1,3,,As new,2023,B
Montigny-le-tilleul,Villa,449000€,4,150,1300,1,,,1,20,1,1150,4,,As new,1991,A+
Transinne,House,160000€,4,190,721,,,,,,,,3,,To renovate,,F
Givry,House,215000€,4,215,520,0,0,,1,40,,,3,0,Good,,D
Profondeville,House,550000€,4,455,4003,1,0,,1,66,1,3626,4,0,As new,1972,D
Quaregnon,House,140000€,5,309,160,,,,1,,,,2,,To be done up,,E
Bruxelles,House,459000€,4,166,102,1,0,,1,2,1,43,2,0,Good,1950,E
Corbion,House,325000€,4,148,5574,0,,,1,,,,4,,,,E
Wibrin,House,390000€,3,149,2772,,0,,,,,,4,0,,1966,E
Liege,House,129000€,3,104,37,0,0,,,,,,2,0,,,F
Houthalen-helchteren,House,210000€,3,184,605,1,,,,,,,4,,Just renovated,1959,D
Tessenderlo,House,364375€,3,,245,,,,,,,,,,Good,,A
Melle,House,895000€,6,362,7729,,,1,1,,,,4,,To renovate,1990,C
Antwerpen,Mixed-use-building,329900€,2,148,170,1,0,,,,,,2,0,Good,1899,D
Tilleur,House,298000€,3,160,315,,0,,1,36,1,100,2,0,,1899,F
Rumst,Mixed-use-building,649500€,8,338,369,1,,,1,,,,,,Good,1997,B
Ingelmunster,House,219000€,3,150,178,1,,,,,,,,,Good,1960,D
Lasne,Villa,1480000€,5,360,3800,1,0,1,1,100,1,3000,4,0,As new,2002,B
Malle,House,385000€,3,160,1675,,0,,,,,,4,0,To renovate,1956,F
Aalter,Villa,650000€,5,374,1641,,,,,,,,4,,Good,1977,C
Brugge,House,399000€,3,258,178,,,,,,,,2,,As new,,D
Turnhout,House,145000€,4,,164,,,,,,,,3,,To renovate,1971,E
Oudenaarde,House,168500€,4,100,180,,,,1,,,,2,,To renovate,1875,F
Genval,House,300000€,3,150,276,0,,,1,18,1,175,2,,To renovate,,F
Ixelles,Apartment-block,1550000€,8,501,182,0,0,,1,,,,2,0,To be done up,1902,D
Sint-truiden,House,265000€,4,132,853,,,,,,1,600,3,,To renovate,1938,F
Mechelen,Bungalow,435000€,3,145,1075,0,0,,1,,1,650,4,0,To be done up,1975,D
Mechelen,House,398000€,4,154,517,1,0,,1,,,,4,0,To renovate,,F
Waregem,Villa,890000€,4,350,2396,,,1,1,,,,4,,To be done up,1969,E
Forest,House,1095000€,5,304,224,0,,,1,24,1,102,2,,As new,1885,Not specified
Sambreville-moignelee,House,285000€,3,161,310,1,,,1,24,,,3,,As new,,D
Ekeren,House,525000€,3,,,1,,,1,17,1,105,3,,Good,,B
Anderlecht,Mixed-use-building,560000€,,350,90,,,,,,,,,,Good,,F
Nivelles,Apartment-block,410000€,3,189,85,1,,,,,,,2,,To renovate,,D
Watermael-boitsfort,House,895000€,4,220,200,0,,1,1,12,1,100,2,,Good,1920,G
Lede,House,269000€,2,120,528,0,,,,,,,4,,Good,1994,F
Schaerbeek,Mixed-use-building,595000€,6,420,,1,,,,,,,2,,Good,1920,E
Turnhout,House,381950€,3,156,,1,,,1,,,,2,,,2022,A
Izegem,House,275000€,4,188,250,,,,,,,,4,,Good,1945,B
Zele,House,290000€,5,151,245,1,0,,1,,,,3,0,,1957,F
Oordegem,House,299000€,4,199,450,,,,,,1,265,2,,Good,1933,D
Zedelgem,House,169000€,2,116,,,,,,,,,4,,Good,1969,E
Bauffe,House,191000€,3,230,657,,,,,,,,,,Good,,G
Saint-nicolas,House,215000€,2,106,120,1,,,1,15,1,40,2,,Just renovated,,C
Herzele,House,299500€,4,199,509,0,,1,1,1,1,1,4,,To renovate,1961,F
Seraing,House,120000€,2,95,128,0,0,,,,1,40,2,0,Good,,C
Schaerbeek,House,469000€,4,145,95,1,0,,1,3,1,8,2,0,To renovate,1925,F
Nivelles,Villa,449000€,3,134,302,1,0,,1,30,1,220,3,0,As new,2004,B
Bilzen,Mixed-use-building,160000€,6,357,,,,,,,,,,,To renovate,1930,D
Ichtegem,House,227000€,2,92,491,,,,,,,,4,,Good,1963,F
Uccle,House,685000€,4,209,205,,,,1,16,,,2,,,1925,F
Geraardsbergen,House,379000€,3,310,620,0,0,,1,40,1,355,2,0,,1974,C
Jauche,House,599000€,5,253,1855,1,0,,1,90,1,1662,4,0,As new,1963,C
Paliseul-maissin,House,89000€,2,95,97,0,0,,,,1,10,3,0,To renovate,1900,E
Villers-la-ville,Country-cottage,350000€,4,272,920,0,,1,1,,,,3,,To renovate,1830,G
Keerbergen,House,965000€,6,430,1851,,,,,,,,,,,1998,B
Mechelen,House,423000€,2,119,91,1,,,1,7,1,54,2,,Good,,D
Froidchapelle,House,70000€,2,56,219,,,,1,50,1,146,4,,To be done up,,G
Halanzy,House,479000€,5,200,834,,,,,,,,4,,To be done up,2004,C
Staden,House,365000€,4,499,268,1,,,,,,,,,Good,1980,C
Saint-nicolas,House,269000€,6,200,360,1,1,,1,20,1,290,2,1,Good,,D
Herenthout,Villa,1250000€,6,322,10639,,,,,,,,4,,Good,1991,C
Brasschaat,Villa,1045000€,3,250,942,0,0,,1,,,,4,0,As new,1957,A
Dilbeek,Villa,619000€,3,276,558,0,0,,1,,,,4,0,As new,2002,B
Aalst,House,440000€,3,159,711,,,,1,,,,3,,Just renovated,,B
La-louviere-houdeng-goegnies,House,169000€,3,158,510,0,0,,1,,,,3,0,To be done up,1967,G
Halle,House,380000€,3,175,1034,,,,1,,,,4,,To be done up,1964,E
Westende,House,195000€,2,141,275,0,0,,,,1,92,2,0,To renovate,1925,E
Forest,Apartment-block,495000€,4,198,70,0,,,1,8,,,2,,Good,1925,G
Virton,House,260000€,5,195,503,0,,,,,,,2,,To be done up,1920,F
Chievres,House,165000€,2,82,,0,,,1,51,,,3,,Good,,C
Roly,House,198000€,2,100,2644,1,0,,1,22,1,2500,4,0,,,G
Keerbergen,Manor-house,1295000€,5,507,1560,,,1,1,11,1,1560,4,,,2001,B
Ninove,House,135000€,2,117,80,,0,,1,,,,2,0,Good,1930,D
Lebbeke,House,725000€,9,532,5951,,,,1,,,,4,,To be done up,1868,E
Eeklo,House,220000€,4,140,160,1,,,,,,,2,,Good,,C
Jamioulx,House,139000€,3,124,8440,,0,,,,1,8440,3,0,To renovate,,G
Turnhout,House,343500€,4,156,172,,0,,1,,1,102,3,0,Good,2024,A
Hove,House,559000€,3,211,697,1,0,,,,,,4,0,To be done up,1982,C
Wilrijk,House,319000€,2,117,153,,,,,,1,90,2,,To be done up,1931,D
Noorderwijk,House,385000€,3,183,180,1,,,1,20,,,3,,,2024,Not specified
Bredene,House,115000€,1,32,34,,,,,,1,14,1,,As new,2001,D
Roeselare,Mansion,499000€,3,332,195,,,,1,,,,2,,As new,1900,C
Zoersel,Villa,575000€,4,220,1178,,,,,,1,1105,4,,Good,1975,B
Wasmuel,House,100000€,2,85,200,1,0,,,,,,2,0,To renovate,,F
Brasschaat,Villa,4200000€,4,647,5137,0,,1,1,,,,4,,As new,2020,A
Schaerbeek,Mixed-use-building,1550000€,6,1000,,1,,,1,,,,2,,As new,1890,D
Heist-op-den-berg,House,650000€,3,149,13545,,,,,,,,4,,As new,2019,A
Ixelles,Mixed-use-building,815000€,2,180,,,0,,1,,,,2,0,As new,,D
Chaudfontaine-beaufays,House,477690€,2,100,141,0,0,,1,22,1,75,2,0,Good,1939,B
Waregem,House,197000€,3,160,155,0,,1,,,,,2,,To renovate,1918,E
Dottignies,Villa,649000€,4,291,3296,1,0,,1,,1,2700,4,0,As new,2006,C
Seraing,House,139000€,3,147,85,1,0,,,,,,2,0,,,E
Buissenal,Villa,329000€,4,230,1492,,,,1,40,1,1170,4,,To be done up,,C
Enghien,House,195000€,2,90,,,,,,,,,2,,Just renovated,1940,D
Oudenaarde,House,315000€,5,185,519,,,,1,,,,3,,,1947,F
Hoeilaart,House,585000€,4,280,228,0,0,,1,41,,,3,0,Good,1955,E
Sint-pieters-leeuw,House,295000€,3,91,165,0,,,1,,,,2,,To be done up,1925,E
Sprimont,Villa,929000€,6,345,4400,1,,,1,,1,4000,4,,Good,1997,C
Bruxelles,Mixed-use-building,499000€,3,123,40,0,0,,,,,,2,0,Good,,Not specified
Quaregnon,House,199000€,3,199,300,1,,,1,,,,3,,To be done up,1930,G
Sint-truiden,House,75000€,2,,109,,,,,,,,2,,,,F
Beauvechain-hamme-mille,House,549000€,3,209,4513,0,0,,1,20,1,6284,4,0,Good,1970,F
Affligem,House,389000€,2,185,476,1,0,,1,17,1,250,3,0,Good,1976,D
Oostrozebeke,House,229000€,3,126,214,,,,,,,,2,,Good,1991,E
Rixensart,House,385000€,3,123,490,0,0,,1,10,1,359,4,0,Good,1964,D
Stree,House,520000€,5,350,2802,1,,,1,,,,4,,Good,,C
Veldegem,House,255000€,3,174,650,,,,1,,,,4,,To renovate,1965,F
Antwerpen-2018,Exceptional-property,745000€,4,200,265,0,,,1,65,,,,,,1935,C
Wevelgem,House,639000€,4,265,635,1,,,,,1,370,,,Good,1930,C
Liege,House,75000€,4,138,,0,,,1,9,1,40,2,,To restore,,D
Herentals,House,355000€,4,150,650,0,,,1,30,1,300,4,,Good,1981,D
Bachte-maria-leerne,House,524987€,5,211,856,1,,,,,,,,,Good,2024,A
Vorst,House,448000€,5,288,809,0,,,,,,,4,,,1979,C
Grimbergen,Villa,819000€,3,250,778,0,0,,1,,,,4,0,As new,2014,A
Sint-lambrechts-woluwe,Mixed-use-building,599000€,3,252,175,1,0,,1,5,1,34,2,0,Good,,F
Evergem,House,385000€,3,,785,1,,1,,,,,4,,To renovate,1974,E
Tubize,Villa,365000€,4,183,450,1,0,,1,45,1,450,4,0,As new,,D
Antwerpen,House,4200000€,20,1875,,,0,,1,150,1,25,3,0,As new,1927,Not specified
Antwerpen-deurne,House,299000€,3,93,104,1,,,,,1,30,2,,,1949,C
Antwerpen,Exceptional-property,1275000€,4,481,203,,0,,1,,,,2,0,,,Not specified
Watermael-boitsfort,House,895000€,4,220,590,,0,,,,1,240,3,0,,1922,G
Zoersel,House,1095000€,5,330,1728,,,1,1,50,1,1570,4,,Just renovated,,B
Ixelles,House,1450000€,,600,398,1,0,,,,,,1,0,,,Not specified
Lier,Villa,2975000€,4,800,6400,,0,,1,,,,4,0,As new,,B
Ekeren,Villa,649000€,2,284,1457,1,,,,,,,,,Good,1997,B
Uccle,Exceptional-property,2495000€,5,434,3200,0,,1,1,40,1,3000,4,,Good,1950,G
Harelbeke,House,451000€,4,285,338,,,,,,,,2,,,,Not specified
Lasne-ohain,House,650000€,4,192,2013,1,0,,1,50,1,1800,4,0,Good,1979,D
Tremelo,House,599000€,4,227,851,,,,,,,,,,Good,2023,Not specified
Kain-tournai,House,409000€,3,156,784,1,,,,,,,4,,,,B
Enghien,House,99000€,3,75,75,,0,,,,,,2,0,,,F
Lauwe,House,179500€,3,125,107,,,,1,,,,2,,Good,1930,D
Puurs,House,599000€,5,290,462,1,,,1,,1,135,3,,,2023,Not specified
Kapellen-3381,Villa,865000€,4,631,3401,,,,1,10,,,,,Good,1995,B
Tongeren,House,325000€,3,139,987,1,,,,,,,3,,,2021,A
Borgerhout,House,329900€,6,145,75,1,,,,,1,10,,,Good,1907,E
Elzele,House,349000€,2,103,186,,,,1,17,1,3045,4,,As new,2024,Not specified
Brasschaat,House,780000€,4,254,427,1,,,,,,,,,,,Not specified
Hasselt,Villa,1095000€,4,350,873,,,,,,,,4,,As new,2019,Not specified
Hoboken,House,279000€,4,147,117,,,,,,1,61,2,,Good,,B
Tellin-bure,Country-cottage,285000€,5,177,2070,0,,1,1,15,1,1870,4,,To renovate,1875,G
Antwerpen,House,339000€,3,185,164,,,,,,1,60,2,,,1932,F
Lievegem,House,795000€,5,381,1979,,,,1,,,,2,,Good,1972,C
Voorde,Villa,649000€,5,382,5158,,0,,1,22,1,4957,4,0,To be done up,1990,C
Houtvenne,House,669000€,4,,936,,,,,,,,,,,2002,B
Westende,Villa,1195000€,8,562,646,,,,,,,,4,,As new,1946,D
Seraing,House,159000€,1,85,220,1,0,,1,10,1,115,2,0,Just renovated,1919,C
Liege-outremeuse,Mixed-use-building,169900€,1,59,47,0,0,,,,,,2,0,To be done up,1874,E
Koekelberg,House,449000€,3,155,,1,,,1,10,,,,,Good,1940,E
Beersel,House,480000€,3,194,2134,1,,,1,,,,4,,To be done up,1990,E
Messancy,House,250000€,4,112,1053,0,,,,,,,4,,To renovate,1977,G
Temse,Villa,1450000€,9,825,4670,0,0,,1,,,,4,0,As new,1977,C
Ghlin,House,210000€,4,153,,1,,,1,,,,3,,Just renovated,2007,B
Spa,Mixed-use-building,349000€,5,289,79,0,0,,,,,,2,0,Good,,C
Heist-op-den-berg,House,340000€,4,215,1365,,,,,,1,800,4,,To renovate,1954,A
Auderghem,House,1850000€,5,540,756,0,0,1,1,45,1,250,2,0,As new,,D
Honnelles,House,450000€,4,632,2181,,0,,1,22,1,1523,4,0,Good,,B
Eeklo,House,350000€,3,160,232,1,,,,,,,,,Good,2003,B
Ixelles,House,1375000€,6,214,,0,0,,1,24,1,36,2,0,Good,2024,A
Harelbeke,House,399000€,3,141,508,,,,,,,,4,,Good,1930,D
Hoogstraten,Villa,1395000€,4,517,1451,,,,,,,,4,,As new,2017,A
Saint-nicolas,House,399000€,5,340,390,,0,,1,,1,100,2,0,Good,2024,A+
Verlaine-chapon-seraing,House,599000€,5,200,935,1,0,,1,250,1,350,4,0,As new,1976,B
Bornem,House,948000€,3,248,6643,1,,,,,,,,,Good,,D
Forest,Apartment-block,350000€,5,,,,,,,,,,,,,,Not specified
Pieton,House,89999€,3,142,230,0,0,,1,,,,2,0,To renovate,1900,C
Gent,House,299000€,4,135,70,1,0,,1,7,,,2,0,Good,1946,D
Aywaille,Villa,665000€,7,379,,1,0,,1,50,1,1810,4,0,Good,1995,B
Antwerpen,House,620000€,3,214,65,0,0,,,,,,2,0,Good,1904,C
Auderghem,Apartment-block,750000€,4,201,318,0,0,,1,25,1,235,2,0,To be done up,1931,E
Landelies,Villa,349999€,4,300,660,1,0,,1,27,1,660,4,0,Good,1800,E
Ravels-poppel,House,450000€,3,167,239,,0,,1,18,,,3,0,Good,2024,A
Gent,Mansion,489000€,4,146,100,,,,1,,,,2,,To renovate,1899,C
Overijse,House,375000€,5,223,1350,,0,,,,,,4,0,,1967,E
Chaumont-gistoux,House,235000€,2,136,479,,,,1,,,,2,,,1939,D
Gent,House,511500€,3,149,,,,,1,,1,42,4,,Good,2020,Not specified
Knokke-heist-knokke,Villa,2250000€,3,201,449,0,0,,1,,,,4,0,Good,1941,C
Herne,House,140000€,1,100,700,,,,,,,,3,,To renovate,1875,F
Esneux,Bungalow,320000€,3,107,681,0,0,,1,35,,,4,0,Good,1970,D
Ravels,House,385000€,4,138,440,0,,,1,12,,,3,,Good,,A
Opwijk,House,329000€,3,135,1345,1,0,,1,,,,4,0,To be done up,1990,F
Waregem,House,255000€,2,100,100,1,,,1,,,,2,,Good,,C
Kalmthout,House,639000€,5,255,2406,0,0,,1,,,,4,0,,1986,C
Sint-truiden,House,174000€,3,176,300,0,,,,,,,2,,To renovate,1899,D
Ranst,House,895000€,4,,4292,,,,1,,,,4,,Good,2003,B
Thulin,House,380000€,2,218,4553,,,,,,,,3,,To renovate,,G
Oudenaarde,Mixed-use-building,799000€,5,391,2783,,,,1,,,,4,,Good,1980,D
Chaudfontaine,House,99000€,2,65,371,,0,,1,10,1,250,4,0,To renovate,,F
Geel,House,339000€,3,151,1191,1,,,1,,,,4,,,1930,C
Oostende,House,279000€,3,173,214,,,,1,24,1,92,4,,As new,1960,D
Oudenburg,House,619000€,4,269,710,,,,,,,,4,,Good,1996,B
Fleurus,House,195000€,3,140,310,1,0,,1,10,1,310,2,0,Good,,E
Edegem,House,1145000€,4,290,670,0,0,,1,,,,4,0,Good,2018,A
Westerlo,House,265000€,2,114,303,1,,,,,,,,,,1955,E
Ledeberg,House,220000€,4,120,59,1,0,,1,30,,,2,0,Good,1918,E
Turnhout,House,329000€,3,155,,,0,,1,,,,2,0,Good,1900,B
Arlon,House,450000€,5,322,535,1,,,1,10,1,427,2,,To be done up,,D
Kortemark,Bungalow,350000€,3,150,2120,0,,,,,,,,,Good,1980,C
Gavere,House,356147€,3,120,214,0,0,,1,17,1,131,3,0,Good,2025,Not specified
Amay,House,215000€,2,183,1094,1,,,1,15,1,959,3,,Good,,G
Sint-martens-lennik,Apartment-block,1590000€,6,760,2972,1,,,1,93,1,1400,4,,Good,1971,B
Bruxelles,Apartment-block,8000000€,,1950,900,,0,1,,,,,2,0,Good,1910,Not specified
Couthuin,Country-cottage,239000€,4,212,823,0,,,1,40,1,603,3,,Good,,F
Tamines,House,335000€,3,190,712,1,,,1,,,,3,,,,D
Schaerbeek,Apartment-block,800000€,7,430,238,0,0,,1,15,1,40,2,0,To renovate,1930,E
Vise,Town-house,440000€,5,232,227,1,,,1,,1,100,2,,Good,1950,D
Woluwe-saint-lambert,Town-house,695000€,5,293,110,0,0,,,,,,3,0,Good,,G
Schepdaal,House,455000€,3,158,158,1,0,,1,41,,,2,0,Good,2015,B
Izegem,House,377000€,3,142,310,0,,,,,,,,,Good,2011,A
Laarne,House,389000€,3,160,1314,0,,,,,,,,,To renovate,1975,F
Bredene,House,349000€,3,150,318,,,,,,,,3,,As new,1986,C
Hove,House,439000€,4,185,270,1,,,1,1,1,1,2,,Good,,B
Waregem,House,179000€,3,152,278,1,,,,,,,,,To renovate,1950,F
Bruxelles,House,546000€,4,156,,0,,,,,1,103,3,,,2023,Not specified
Spa,House,1888000€,6,610,2400,0,,,1,,1,1200,4,,As new,1902,E
Lier,House,569000€,3,170,125,0,0,,1,,,,2,0,Good,,B
Dilbeek,Villa,399000€,2,130,,0,,,,,,,4,,To renovate,1950,A+
Herent-veltem-beisem,House,330000€,3,135,299,0,0,,1,,,,3,0,To be done up,1975,D
Gent,House,249000€,1,,55,,,,,,,,2,,As new,1934,B
Hasselt,Apartment-block,1115000€,,,,,,,,,,,,,,,Not specified
Nazareth,House,549000€,3,180,2972,,,,1,,,,4,,To renovate,1970,F
Turnhout,House,357500€,3,157,184,,0,,1,,1,108,3,0,Good,2024,A
Anzegem,House,360000€,5,196,592,0,,,1,17,,,2,,Just renovated,,B
Jemelle,House,146000€,2,109,235,1,,,1,,1,194,3,,To be done up,1900,E
Sint-katelijne-waver,House,175000€,3,111,131,,,,,,,,2,,,1919,F
Hannut,House,239000€,4,532,380,0,,,1,65,,,2,,Good,1850,C
Zandvliet,House,275000€,2,120,297,,,,,,1,297,,,To be done up,1936,D
Bilzen,House,595000€,7,760,3443,,,,,,,,4,,Good,1960,F
Chaudfontaine,Apartment-block,799000€,,352,451,1,,,1,,,,,,As new,,C
Ingooigem,House,513150€,5,250,609,1,,,1,,,,3,,,2023,Not specified
Zoersel,Villa,795000€,4,312,2036,,0,,1,,,,4,0,To be done up,1977,F
Ronse,House,349000€,3,213,325,,,,,,,,3,,Good,2019,A
Brecht,House,649000€,4,416,1970,0,,1,1,30,1,1250,4,,,2021,A
Amay,Villa,245000€,3,180,640,,0,,1,35,1,400,4,0,,1960,G
Mariakerke,House,345000€,3,175,193,0,0,,,,1,115,2,0,To renovate,1957,C
Damme,House,297000€,2,89,135,,0,,1,,,,2,0,,1907,E
Stabroek,House,375000€,4,155,,,0,,1,,,,2,0,,1953,F
Antwerpen-2060,House,224500€,3,102,50,1,,,,,,,,,To renovate,1899,F
Wilsele,House,415000€,2,129,347,,,,,,,,,,Just renovated,,B
Willebroek,House,379000€,4,144,,0,,,,,,,2,,As new,,C
Kortrijk,House,305000€,3,150,120,1,,,1,,,,2,,Good,,Not specified
Antwerpen,Apartment-block,2222000€,9,474,,,,,1,,,,2,,Good,,A
Brugge,House,320000€,2,73,60,,,,,,,,,,Good,,A
Veurne,House,175000€,2,149,320,,,,,,,,2,,To renovate,1930,C
Bornem,House,289000€,2,118,137,1,,,1,20,,,3,,Good,,E
Gent,Mansion,1295000€,2,255,95,,,,1,36,,,,,Good,1850,B
Ternat,House,389000€,3,194,468,0,,,1,,1,300,3,,Just renovated,1930,E
Liege,House,159000€,3,112,135,1,0,,1,34,1,90,2,0,Good,1950,D
Steenokkerzeel,Bungalow,470000€,3,174,727,1,,,1,15,1,300,4,,,1979,E
Overijse,House,600000€,3,176,391,0,0,,1,,,,3,0,,2024,Not specified
Gent,House,520000€,4,191,148,1,,,1,11,,,,,Good,2017,A
Duffel,Mixed-use-building,279000€,3,135,400,,,,1,35,1,275,,,,,E
Boortmeerbeek,Villa,425000€,4,152,691,1,,,,,1,591,4,,To be done up,1961,F
Beernem,House,358000€,3,172,703,,,,,,,,,,Good,,F
Fayt-lez-manage,House,149999€,2,118,250,0,0,,1,43,1,85,2,0,To be done up,1920,F
Huy,House,499500€,5,230,2050,0,,1,,,,,,,As new,1994,C
Gent,House,1200000€,3,400,317,0,,1,1,35,1,50,4,,Good,1952,D
Wiheries,House,330000€,3,230,1070,1,0,,1,160,,,4,0,Good,,D
Beauvechain,House,300000€,3,105,1164,,,,,,,,4,,To renovate,,G
Mechelen,House,335000€,4,153,125,1,,,1,,,,2,,Good,,D
Saint-josse-ten-noode,House,395000€,4,198,,,0,,1,25,,,2,0,To renovate,,G
Bonheiden,House,575000€,3,279,1381,0,,,,,,,,,,1992,C
Saint-josse-ten-noode,Apartment-block,580000€,4,210,,1,0,,1,11,1,103,2,0,Good,,E
Anderlues,House,285000€,3,149,225,1,,,1,,,,3,,,2023,B
